Axe_Desc_first_purchase,channel_recruitment,first_purchase_discounted,customers,avg_first_basket,avg_90d_value,avg_12m_value,avg_margin_12m,repeat_rate,high_value_rate,omnichannel_rate,median_days_to_second,discount_label,first_category_display,channel_display,cohort_label,estimated_value_pool,decision,commercial_play,why_it_matters,owner,kpi
MAKE UP|MAEK UP|SKINCARE|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAKE UP,store,0,1,318.9,447.79999999999995,447.79999999999995,447.79999999999995,1.0,1.0,0.0,0.0,Full Price,Mixed Basket (Make Up + 9 others),Store,Mixed Basket (Make Up + 9 others) / Store / Full Price,447.79999999999995,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|FRAGRANCE|MAKE UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE,store,1,1,95.74,447.72,447.72,428.47,1.0,1.0,1.0,20.0,Discounted,Mixed Basket (Others + 6 others),Store,Mixed Basket (Others + 6 others) / Store / Discounted,447.72,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAKE UP|MAKE UP|MAEK UP|SKINCARE,store,0,1,358.7,447.5,447.5,447.5,1.0,1.0,0.0,0.0,Full Price,Mixed Basket (Make Up + 9 others),Store,Mixed Basket (Make Up + 9 others) / Store / Full Price,447.5,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|FRAGRANCE|SKINCARE|SKINCARE,store,1,2,258.065,223.7,223.7,159.45,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Discounted,447.4,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
FRAGRANCE|FRAGRANCE|FRAGRANCE|MAEK UP|FRAGRANCE|MAKE UP|MAKE UP|MAKE UP,estore,1,1,447.37,447.37,447.37,259.77,0.0,0.0,0.0,,Discounted,Mixed Basket (Fragrance + 7 others),Estore,Mixed Basket (Fragrance + 7 others) / Estore / Discounted,447.37,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|SKINCARE|SKINCARE|MAEK UP|MAEK UP|MAEK UP|SKINCARE|MAEK UP|MAEK UP|MAKE UP|FRAGRANCE,store,1,1,446.79,446.79,446.79,441.79,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 10 others),Store,Mixed Basket (Make Up + 10 others) / Store / Discounted,446.79,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|HAIRCARE|HAIRCARE|SKINCARE,store,0,1,60.89,228.67,445.76,398.31,1.0,1.0,1.0,0.0,Full Price,Mixed Basket (Skincare + 3 others),Store,Mixed Basket (Skincare + 3 others) / Store / Full Price,445.76,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP,store,1,2,149.08,222.025,222.025,209.22500000000002,0.5,0.0,0.0,2.0,Discounted,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Discounted,444.05,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|SKINCARE|SKINCARE|MAKE UP,store,1,3,61.54666666666666,81.80666666666666,147.66666666666666,129.4,1.0,0.0,0.0,213.0,Discounted,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Make Up + 3 others) / Store / Discounted,443.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|SKINCARE|SKINCARE|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP,store,0,1,240.86,101.56,442.88,380.09,1.0,1.0,1.0,111.0,Full Price,Mixed Basket (Skincare + 8 others),Store,Mixed Basket (Skincare + 8 others) / Store / Full Price,442.88,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAEK UP|SKINCARE|MAEK UP|SKINCARE|MAEK UP,store,0,1,301.0,442.75,442.75,359.5,1.0,1.0,0.0,11.0,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,442.75,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAKE UP|SKINCARE|MAKE UP,store,1,2,67.33500000000001,144.81,221.32500000000002,187.27,0.5,0.0,0.0,64.0,Discounted,Mixed Basket (Skincare + 3 others),Store,Mixed Basket (Skincare + 3 others) / Store / Discounted,442.65000000000003,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAKE UP,estore,1,1,221.0,442.0,442.0,366.2,1.0,1.0,0.0,24.0,Discounted,Mixed Basket (Make Up + 8 others),Estore,Mixed Basket (Make Up + 8 others) / Estore / Discounted,442.0,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|SKINCARE|MAEK UP|MAEK UP|SKINCARE|SKINCARE|OTHERS|MAEK UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|SKINCARE|MAKE UP,store,1,1,266.73,150.0,442.0,442.0,1.0,1.0,0.0,31.0,Discounted,Mixed Basket (Others + 13 others),Store,Mixed Basket (Others + 13 others) / Store / Discounted,442.0,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|MAEK UP|MAEK UP|FRAGRANCE|MAEK UP|MAKE UP|MAEK UP|SKINCARE,store,1,1,246.85,103.84,441.94,362.36,1.0,1.0,0.0,0.0,Discounted,Mixed Basket (Others + 7 others),Store,Mixed Basket (Others + 7 others) / Store / Discounted,441.94,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|MAEK UP|HAIRCARE|HAIRCARE,store,1,1,107.5,426.2,441.19,421.89,1.0,1.0,0.0,10.0,Discounted,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Discounted,441.19,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|MAEK UP|MAKE UP,store,1,3,85.64666666666666,146.84333333333333,146.84333333333333,127.09333333333335,0.3333333333333333,0.0,0.0,4.0,Discounted,Mixed Basket (Skincare + 3 others),Store,Mixed Basket (Skincare + 3 others) / Store / Discounted,440.53,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP,store,0,3,146.63,146.63,146.63,146.63,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Full Price,439.89,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|SKINCARE|SKINCARE|SKINCARE|MAKE UP,store,0,1,68.38,188.32999999999998,439.27,499.27,1.0,1.0,0.0,0.0,Full Price,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Full Price,439.27,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP,store,0,2,219.59,219.59,219.59,219.59,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 6 others),Store,Mixed Basket (Make Up + 6 others) / Store / Full Price,439.18,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|MAEK UP,store,0,2,64.41,139.74,219.42000000000002,176.75,1.0,0.0,0.0,64.0,Full Price,Mixed Basket (Skincare + 6 others),Store,Mixed Basket (Skincare + 6 others) / Store / Full Price,438.84000000000003,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|MAKE UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP|SKINCARE|SKINCARE,store,0,1,137.92,437.73,437.73,437.73,1.0,1.0,1.0,7.0,Full Price,Mixed Basket (Skincare + 8 others),Store,Mixed Basket (Skincare + 8 others) / Store / Full Price,437.73,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAEK UP|SKINCARE|SKINCARE|MAEK UP|MAKE UP|MAKE UP,estore,1,1,179.77,397.66999999999996,437.57,435.46999999999997,1.0,1.0,1.0,11.0,Discounted,Mixed Basket (Skincare + 6 others),Estore,Mixed Basket (Skincare + 6 others) / Estore / Discounted,437.57,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|FRAGRANCE|MAEK UP|MAEK UP|FRAGRANCE,store,1,1,232.72,437.44,437.44,366.94,1.0,1.0,0.0,41.0,Discounted,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Discounted,437.44,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|HAIRCARE|HAIRCARE|MAEK UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE,estore,1,1,356.05,192.49,436.74,383.69,1.0,1.0,0.0,316.0,Discounted,Mixed Basket (Skincare + 8 others),Estore,Mixed Basket (Skincare + 8 others) / Estore / Discounted,436.74,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|FRAGRANCE|HAIRCARE|MAEK UP|HAIRCARE|HAIRCARE|HAIRCARE|MAEK UP|HAIRCARE,store,1,1,436.05,436.05,436.05,397.3,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 8 others),Store,Mixed Basket (Make Up + 8 others) / Store / Discounted,436.05,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP,store,0,2,217.4,216.945,216.945,216.945,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,433.89,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|SKINCARE|SKINCARE|MAKE UP,store,0,4,63.93,86.79,108.265,124.39,0.5,0.0,0.25,77.5,Full Price,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Make Up + 3 others) / Store / Full Price,433.06,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|FRAGRANCE|MAKE UP|MAKE UP|MAKE UP|MAEK UP|MAEK UP|FRAGRANCE|FRAGRANCE,store,1,1,432.9,432.90000000000003,432.90000000000003,382.90000000000003,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 12 others),Store,Mixed Basket (Make Up + 12 others) / Store / Discounted,432.90000000000003,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|HAIRCARE|SKINCARE|SKINCARE|SKINCARE|HAIRCARE|SKINCARE|SKINCARE|SKINCARE,store,1,1,224.73,431.71000000000004,431.71000000000004,399.05000000000007,1.0,1.0,0.0,0.0,Discounted,Mixed Basket (Skincare + 8 others),Store,Mixed Basket (Skincare + 8 others) / Store / Discounted,431.71000000000004,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|MAKE UP|MAKE UP|HAIRCARE|MAEK UP|MAEK UP|MAKE UP|SKINCARE|MAEK UP|MAEK UP|MAKE UP|MAEK UP,store,0,1,430.7,430.7,430.7,430.7,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 11 others),Store,Mixed Basket (Make Up + 11 others) / Store / Full Price,430.7,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
HAIRCARE|HAIRCARE|SKINCARE,store,0,4,71.0625,107.655,107.655,107.655,0.75,0.0,0.0,0.0,Full Price,Mixed Basket (Haircare + 2 others),Store,Mixed Basket (Haircare + 2 others) / Store / Full Price,430.62,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|FRAGRANCE|FRAGRANCE,store,0,2,306.0,137.0,215.0,148.5,0.5,0.0,0.0,105.0,Full Price,Mixed Basket (Others + 2 others),Store,Mixed Basket (Others + 2 others) / Store / Full Price,430.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAEK UP|MAEK UP|MAEK UP,estore,1,2,81.88,180.95,214.56,196.135,1.0,0.0,0.5,112.5,Discounted,Mixed Basket (Make Up + 3 others),Estore,Mixed Basket (Make Up + 3 others) / Estore / Discounted,429.12,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|SKINCARE|SKINCARE|SKINCARE|MAEK UP|SKINCARE,store,0,1,429.0,429.0,429.0,429.0,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,429.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
FRAGRANCE|FRAGRANCE|NOT SPECIFIED|MAKE UP,estore,1,1,428.29,428.29,428.29,247.59000000000003,0.0,0.0,0.0,,Discounted,Mixed Basket (Fragrance + 3 others),Estore,Mixed Basket (Fragrance + 3 others) / Estore / Discounted,428.29,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|HAIRCARE|SKINCARE,estore,0,1,174.77,261.36,426.73,348.71000000000004,1.0,1.0,1.0,10.0,Full Price,Mixed Basket (Skincare + 7 others),Estore,Mixed Basket (Skincare + 7 others) / Estore / Full Price,426.73,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP,estore,0,2,-9.954999999999998,48.88,213.1,200.015,0.5,0.5,0.0,0.0,Full Price,Mixed Basket (Make Up + 4 others),Estore,Mixed Basket (Make Up + 4 others) / Estore / Full Price,426.2,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|MAEK UP|MAKE UP|SKINCARE|MAEK UP|MAKE UP|MAEK UP|SKINCARE,store,1,1,425.9,425.9,425.9,420.90999999999997,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 8 others),Store,Mixed Basket (Skincare + 8 others) / Store / Discounted,425.9,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|FRAGRANCE|MAKE UP,store,1,3,141.79666666666665,141.79666666666665,141.79666666666665,110.63666666666666,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Discounted,425.39,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
OTHERS|MAEK UP|MAEK UP|MAEK UP|MAKE UP,store,1,2,101.305,132.15,212.60000000000002,221.85000000000002,0.5,0.0,0.0,140.0,Discounted,Mixed Basket (Others + 4 others),Store,Mixed Basket (Others + 4 others) / Store / Discounted,425.20000000000005,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|HAIRCARE|MAEK UP|MAKE UP,store,0,1,144.5,424.5,424.5,424.5,1.0,1.0,1.0,1.0,Full Price,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Make Up + 3 others) / Store / Full Price,424.5,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|SKINCARE|MAKE UP,store,0,4,48.585,80.88250000000001,106.08250000000001,91.0325,0.25,0.0,0.0,7.0,Full Price,Mixed Basket (Skincare + 3 others),Store,Mixed Basket (Skincare + 3 others) / Store / Full Price,424.33000000000004,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|SKINCARE|SKINCARE|MAEK UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|FRAGRANCE,store,0,1,423.99,423.99,423.99,423.99,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 9 others),Store,Mixed Basket (Skincare + 9 others) / Store / Full Price,423.99,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|HAIRCARE|SKINCARE|SKINCARE|MAKE UP|MAEK UP|SKINCARE|MAEK UP|MAEK UP,estore,0,1,304.78,423.78,423.78,423.78,1.0,1.0,1.0,49.0,Full Price,Mixed Basket (Make Up + 8 others),Estore,Mixed Basket (Make Up + 8 others) / Estore / Full Price,423.78,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|SKINCARE|FRAGRANCE|FRAGRANCE,store,1,1,423.6,423.6,423.6,331.20000000000005,0.0,0.0,0.0,,Discounted,Mixed Basket (Fragrance + 6 others),Store,Mixed Basket (Fragrance + 6 others) / Store / Discounted,423.6,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
HAIRCARE|MAEK UP|SKINCARE|SKINCARE|HAIRCARE|SKINCARE|HAIRCARE|HAIRCARE|HAIRCARE,store,0,1,423.49,423.49,423.49,423.49,0.0,0.0,0.0,,Full Price,Mixed Basket (Haircare + 8 others),Store,Mixed Basket (Haircare + 8 others) / Store / Full Price,423.49,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP,store,0,3,177.54666666666665,140.88666666666666,140.88666666666666,140.88666666666666,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Full Price,422.65999999999997,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|MAKE UP|SKINCARE|SKINCARE,store,0,1,60.95,96.28999999999999,422.46999999999997,339.79999999999995,1.0,1.0,1.0,152.0,Full Price,Mixed Basket (Skincare + 5 others),Store,Mixed Basket (Skincare + 5 others) / Store / Full Price,422.46999999999997,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
FRAGRANCE|MAEK UP|SKINCARE,store,0,3,107.82666666666667,109.29333333333334,140.79333333333332,137.29333333333332,0.3333333333333333,0.0,0.0,205.0,Full Price,Mixed Basket (Fragrance + 2 others),Store,Mixed Basket (Fragrance + 2 others) / Store / Full Price,422.38,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAEK UP|MAKE UP|MAKE UP|SKINCARE|MAEK UP|SKINCARE|SKINCARE,store,0,1,422.3,422.3,422.3,422.3,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 7 others),Store,Mixed Basket (Make Up + 7 others) / Store / Full Price,422.3,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE,estore,0,2,51.644999999999996,146.825,211.06,181.195,0.5,0.5,0.5,0.0,Full Price,Mixed Basket (Skincare + 6 others),Estore,Mixed Basket (Skincare + 6 others) / Estore / Full Price,422.12,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAKE UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP|SKINCARE|SKINCARE|MAEK UP|MAEK UP|MAEK UP|SKINCARE|MAEK UP|MAEK UP|HAIRCARE|MAKE UP,store,1,1,431.98,421.27,421.27,421.27,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 15 others),Store,Mixed Basket (Skincare + 15 others) / Store / Discounted,421.27,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAEK UP|SKINCARE,store,1,5,49.544,49.544000000000004,84.224,77.386,0.6,0.0,0.0,115.0,Discounted,Mixed Basket (Make Up + 2 others),Store,Mixed Basket (Make Up + 2 others) / Store / Discounted,421.12,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
FRAGRANCE|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP,store,1,1,350.38,350.38,420.88,328.88,1.0,1.0,0.0,133.0,Discounted,Mixed Basket (Fragrance + 6 others),Store,Mixed Basket (Fragrance + 6 others) / Store / Discounted,420.88,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|HAIRCARE,estore,0,6,35.31166666666667,42.01,70.09333333333333,60.550000000000004,0.6666666666666666,0.0,0.3333333333333333,78.5,Full Price,Mixed Basket (Skincare + 1 others),Estore,Mixed Basket (Skincare + 1 others) / Estore / Full Price,420.56,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|SKINCARE|SKINCARE|SKINCARE,estore,0,1,168.9,29.9,420.39,420.39,1.0,1.0,1.0,184.0,Full Price,Mixed Basket (Skincare + 4 others),Estore,Mixed Basket (Skincare + 4 others) / Estore / Full Price,420.39,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP,store,0,3,106.24000000000001,94.79,140.11333333333334,129.26333333333332,0.6666666666666666,0.0,0.3333333333333333,164.0,Full Price,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Full Price,420.34000000000003,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE,estore,1,1,110.09,138.79,420.34,366.14,1.0,1.0,0.0,174.0,Discounted,Mixed Basket (Make Up + 4 others),Estore,Mixed Basket (Make Up + 4 others) / Estore / Discounted,420.34,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
OTHERS|MAKE UP|MAEK UP|MAKE UP,store,1,3,47.63999999999999,37.81,139.99,102.70666666666666,0.6666666666666666,0.0,0.3333333333333333,99.0,Discounted,Mixed Basket (Others + 3 others),Store,Mixed Basket (Others + 3 others) / Store / Discounted,419.97,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAEK UP|MAKE UP|MAKE UP|MAKE UP,estore,0,2,124.34,118.30000000000001,209.9,183.89999999999998,1.0,0.0,0.0,95.0,Full Price,Mixed Basket (Make Up + 3 others),Estore,Mixed Basket (Make Up + 3 others) / Estore / Full Price,419.8,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAKE UP|MAKE UP|SKINCARE|SKINCARE|MAEK UP|SKINCARE|MAKE UP,store,0,1,347.79,419.68999999999994,419.68999999999994,419.68999999999994,1.0,1.0,0.0,0.0,Full Price,Mixed Basket (Make Up + 8 others),Store,Mixed Basket (Make Up + 8 others) / Store / Full Price,419.68999999999994,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAEK UP|FRAGRANCE|MAEK UP|MAEK UP,store,0,1,174.97,272.19,419.28,481.47999999999996,1.0,1.0,0.0,51.0,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,419.28,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
